add rate,sales
1,142
2,155
3,142
4,133
5,171
6,189
7,221
8,148
9,191
10,149
11,194
12,173
13,208
14,228
15,171
16,235
17,191
18,197
19,280
20,247
21,202
22,248
23,288
24,282
25,278
26,237
27,275
28,297
29,329
30,251
31,263
32,303
33,261
34,296
35,329
36,361
37,354
38,339
39,334
40,310
41,303
42,354
43,359
44,361
45,416
46,405
47,397
48,374
49,374
50,420
51,415
52,439
53,459
54,442
55,402
56,381
57,383
58,465
59,439
60,473
61,410
62,442
63,418
64,442
65,476
66,506
67,483
68,480
69,485
70,525
71,530
72,466
73,521
74,539
75,569
76,535
77,511
78,576
79,518
80,520
81,545
82,522
83,568
84,590
85,588
86,569
87,628
88,625
89,565
90,554
91,612
92,600
93,580
94,591
95,660
96,637
97,626
98,671
99,626
100,691
